"subject","cluster"
100004,3
100206,3
100307,1
100408,1
100610,1
101006,1
101107,1
101208,3
101309,2
101410,2
101612,1
101915,2
102008,2
102109,2
102311,1
102513,1
102614,2
102715,2
102816,1
103010,1
103111,2
103212,1
103414,2
103515,3
103818,3
104012,2
104113,1
104416,2
104820,2
105014,2
105115,3
105216,3
105620,1
105923,1
106016,1
106218,2
106319,3
106521,1
106824,1
107018,2
107119,3
107220,1
107321,1
107422,1
107523,1
107725,1
108020,1
108121,1
108222,1
108323,1
108525,2
108828,3
109123,3
109325,1
109830,2
110007,2
110411,2
110613,2
111009,1
111211,1
111312,2
111413,1
111514,1
111716,1
112112,2
112314,1
112516,2
112819,2
112920,2
113215,3
113316,1
113417,1
113619,2
113821,1
113922,1
114116,3
114217,2
114318,1
114419,2
114621,2
114823,1
114924,1
115017,2
115219,1
115320,2
115724,1
115825,1
116120,2
116221,1
116322,3
116423,1
116524,3
116726,2
117021,1
117122,1
117324,2
117728,3
117930,2
118023,1
118124,1
118225,1
118528,1
118730,1
118831,3
118932,3
119025,2
119126,1
119732,1
119833,3
120010,2
120111,2
120212,1
120414,1
120515,1
120717,1
120818,3
121315,3
121416,1
121618,3
121719,1
121820,1
121921,1
122317,1
122418,2
122519,1
122620,1
122822,1
123117,1
123420,3
123521,1
123723,3
123824,2
123925,1
124220,1
124321,3
124422,3
124624,2
124826,1
125222,3
125424,2
125525,1
126325,2
126426,3
126628,2
126931,1
127226,1
127327,1
127630,1
127731,2
127832,2
127933,1
128026,2
128127,1
128329,1
128632,1
128935,1
129028,2
129129,3
129331,1
129432,1
129533,1
129634,2
129937,2
130013,2
130114,2
130316,1
130417,1
130518,2
130619,1
130720,1
130821,1
130922,2
131217,1
131419,1
131621,3
131722,3
131823,1
131924,2
132017,1
132118,1
132320,3
133019,2
133221,1
133625,1
133726,2
133827,2
133928,1
134021,2
134223,1
134324,2
134425,2
134627,2
134728,2
134829,1
135124,1
135225,1
135427,3
135528,2
135629,3
135730,3
135932,2
136126,1
136227,1
136328,3
136530,1
136631,2
136732,2
136833,2
137027,2
137128,2
137229,1
137431,2
137532,1
137633,2
137936,1
138130,1
138231,1
138332,1
138534,2
138837,3
139233,2
139435,2
139637,1
139839,1
140117,1
140319,1
140420,3
140723,1
140824,1
140925,3
141119,1
141422,1
141624,1
141826,2
142424,3
142828,1
143224,1
143325,3
143426,1
143527,1
143830,3
144125,2
144226,1
144428,3
144731,1
144832,1
144933,1
145127,1
145531,2
145632,3
145834,1
146129,2
146331,2
146432,2
146533,1
146634,2
146735,1
146836,1
146937,2
147030,2
147636,1
147737,3
148032,2
148133,3
148234,3
148335,2
148436,1
148840,3
148941,2
149236,1
149337,1
149539,1
149741,2
149842,1
150019,2
150423,1
150524,3
150625,2
150726,1
150928,1
151021,2
151223,3
151324,3
151425,1
151526,3
151627,2
151728,1
151829,1
151930,1
152225,2
152427,1
152831,3
152932,1
153025,2
153126,1
153227,1
153429,1
153631,1
153732,2
153833,2
153934,2
154229,3
154330,1
154431,2
154532,1
154734,2
154835,1
154936,3
155231,2
155635,3
155938,2
156031,2
156233,2
156334,1
156435,1
156536,1
156637,3
157235,2
157336,1
157437,2
157942,1
158035,1
158136,3
158338,1
158540,1
158843,1
159138,2
159239,2
159340,2
159441,1
159744,2
159845,1
159946,3
160123,1
160729,3
160830,1
160931,1
161327,1
161630,2
161731,1
161832,3
162026,2
162228,2
162329,2
162733,1
162834,1
162935,3
163129,2
163331,2
163432,2
163836,1
164030,2
164131,3
164636,2
164939,3
165032,1
165234,1
165436,1
165638,2
165840,3
165941,1
166438,1
166640,1
167036,2
167238,1
167440,2
167743,1
168038,3
168139,1
168240,3
168341,2
168745,3
168947,2
169040,3
169141,1
169343,3
169444,1
169545,1
169747,2
169949,2
170631,2
170934,3
171128,3
171330,2
171431,1
171532,3
171633,1
171734,2
172029,1
172130,1
172332,2
172433,1
172534,2
172635,3
172938,2
173132,1
173233,1
173334,1
173435,2
173536,1
173637,2
173738,3
173839,1
173940,1
174437,1
174841,2
175035,3
175136,2
175237,2
175338,1
175439,3
175540,1
175742,1
175944,2
176037,1
176239,1
176441,1
176542,1
176744,2
176845,2
177140,1
177241,2
177342,3
177645,1
177746,2
178142,2
178243,3
178647,1
178748,1
178849,3
178950,3
179043,1
179245,3
179346,2
179548,1
179952,2
180129,3
180230,2
180432,1
180533,1
180735,2
180836,3
180937,3
181131,1
181232,2
181636,2
182032,1
182436,1
182739,1
182840,3
183034,2
183337,2
183741,3
184642,3
185038,3
185139,2
185341,3
185442,2
185846,1
185947,3
186040,1
186141,3
186242,2
186444,3
186545,3
186848,2
186949,3
187143,1
187345,1
187547,2
187850,2
188145,2
188246,2
188347,2
188448,1
188549,1
188751,2
189349,1
189450,1
189551,1
189652,2
190031,1
190132,1
190940,1
191033,1
191235,2
191336,1
191437,3
191639,2
191841,1
191942,2
192035,2
192136,1
192237,1
192439,3
192540,2
192641,1
192843,1
193239,1
193441,1
193845,2
194140,1
194443,2
194645,1
194746,2
194847,1
194948,1
195041,2
195445,3
195647,3
195849,2
195950,2
196144,3
196346,1
196548,1
196750,3
196851,1
196952,2
197348,1
197449,3
197550,3
197651,1
197954,3
198047,2
198249,2
198350,1
198451,3
198653,1
198855,2
199150,2
199251,1
199352,1
199453,2
199554,3
199655,1
199958,1
200008,1
200109,2
200210,1
200311,1
200513,1
200614,2
200816,3
200917,1
201111,3
201414,2
201515,2
201717,1
201818,1
202113,1
202719,2
202820,3
203418,1
203721,1
203923,1
204016,1
204117,1
204218,2
204319,3
204420,1
204521,2
204622,2
205119,2
205220,2
205725,3
205826,3
206222,3
206323,2
206525,1
206727,1
206828,2
206929,1
207123,1
207426,2
207628,2
208024,1
208125,3
208226,2
208327,1
208428,3
208630,1
208832,2
209127,3
209228,3
209329,2
209531,1
209834,3
209935,3
210011,1
210112,1
210415,1
210617,1
211114,2
211215,1
211316,3
211417,2
211518,3
211619,1
211720,1
211821,3
211922,3
212015,2
212116,2
212217,3
212318,1
212419,1
212520,3
212823,2
212924,1
213017,1
213421,1
213522,3
214019,3
214221,3
214423,1
214524,1
214625,1
214726,1
217126,3
217429,1
218128,2
219231,1
220721,3
221218,3
221319,3
223929,2
224022,1
227432,1
227533,2
228434,2
230926,2
231928,3
233326,1
235128,1
236130,1
237334,1
238033,3
239136,2
239944,2
245333,1
246133,1
248238,3
248339,3
249947,2
250427,1
250932,1
251833,2
255639,1
255740,3
256540,2
257542,2
257845,2
257946,1
263032,1
263436,3
268749,2
268850,1
270332,1
274542,3
275645,1
280739,2
280941,3
281135,2
283543,1
284646,3
285345,2
285446,1
286347,3
286650,2
287248,2
289555,1
290136,1
293748,2
295146,1
297655,2
298051,2
298455,3
299154,2
299760,3
300618,1
300719,1
303119,3
303624,2
304020,1
304727,2
305830,1
307127,3
308129,3
308331,2
309636,1
310621,2
311320,3
314225,1
316633,3
316835,1
317332,1
318637,1
320826,1
321323,2
322224,2
325129,1
329440,1
329844,2
330324,1
333330,1
334635,1
336841,2
339847,2
341733,2
341834,2
341935,3
342129,2
346137,2
346945,1
348545,3
349244,1
350330,1
351938,2
352132,1
352738,1
353740,2
354439,1
354944,3
355239,2
355542,3
355845,3
