,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,L_rostralanteriorcingulate_cortex,L_rostralanteriorcingulate_cortex,L_thalamus,L_thalamus,L_hippocampus,R_rostralanteriorcingulate_cortex,R_rostralanteriorcingulate_cortex,R_thalamus,R_hippocampus,L_rostralanteriorcingulate_cortex,L_thalamus,L_hippocampus,L_amygdala,L_rostralanteriorcingulate_cortex,L_hippocampus,L_amygdala
1,L_thalamus,L_amygdala,L_hippocampus,R_hippocampus,L_amygdala,R_thalamus,R_amygdala,R_hippocampus,R_amygdala,R_thalamus,R_rostralanteriorcingulate_cortex,R_thalamus,R_rostralanteriorcingulate_cortex,R_amygdala,R_amygdala,R_hippocampus
100206,56.0,582.0,1134.0,1.0,230.0,31.0,871.0,191.0,131.0,,,,,,,
100307,178.0,1572.0,247.0,151.0,1198.0,5.0,954.0,577.0,339.0,1.0,2.0,22.0,6.0,,,
100408,373.0,490.0,1418.0,,1710.0,16.0,55.0,57.0,85.0,2.0,,5.0,,1.0,11.0,
100610,236.0,665.0,992.0,8.0,1811.0,85.0,242.0,1810.0,1198.0,11.0,90.0,19.0,,,,
101006,3.0,203.0,163.0,4.0,129.0,253.0,2380.0,1428.0,3661.0,,,,,,,
101107,269.0,1465.0,1785.0,,1326.0,9.0,283.0,55.0,53.0,44.0,54.0,88.0,,,,
101309,28.0,361.0,1496.0,2.0,319.0,397.0,1045.0,363.0,320.0,,26.0,21.0,29.0,,,9.0
101410,27.0,836.0,2213.0,65.0,397.0,894.0,410.0,1559.0,976.0,,13.0,157.0,,4.0,,
101915,4.0,107.0,251.0,1.0,294.0,13.0,299.0,1341.0,1590.0,,,,,,1.0,
102008,44.0,758.0,2219.0,6.0,932.0,55.0,228.0,985.0,203.0,3.0,19.0,,1.0,,,
102109,38.0,72.0,239.0,,25.0,12.0,977.0,2154.0,882.0,,5.0,,,,,
102311,438.0,1406.0,1856.0,11.0,672.0,40.0,64.0,857.0,300.0,3.0,8.0,58.0,,,,
102513,10.0,401.0,400.0,,551.0,179.0,491.0,674.0,810.0,,,,,,,
102614,265.0,1871.0,893.0,37.0,640.0,355.0,1087.0,1141.0,420.0,27.0,20.0,35.0,,96.0,93.0,1.0
102715,201.0,453.0,437.0,,267.0,12.0,324.0,105.0,118.0,21.0,,,,4.0,,
102816,30.0,243.0,1701.0,,323.0,214.0,604.0,545.0,238.0,,4.0,,,,35.0,
103010,101.0,208.0,1320.0,,218.0,360.0,798.0,1483.0,106.0,,,,,,,
103111,125.0,10.0,222.0,56.0,327.0,751.0,3068.0,2023.0,3999.0,,69.0,,,8.0,,
103212,144.0,114.0,2065.0,1.0,307.0,213.0,761.0,2247.0,1265.0,3.0,1.0,,,2.0,,
103414,329.0,221.0,2340.0,2.0,750.0,101.0,82.0,2060.0,133.0,,2.0,,,,,
103515,191.0,2032.0,1234.0,5.0,1364.0,2.0,17.0,271.0,292.0,2.0,,33.0,1.0,14.0,36.0,1.0
103818,148.0,234.0,1309.0,,316.0,75.0,264.0,799.0,699.0,2.0,,1.0,,,,
104012,17.0,70.0,1059.0,21.0,220.0,10.0,424.0,750.0,487.0,,,,,,,
104416,19.0,12.0,1030.0,1.0,79.0,794.0,1014.0,1363.0,938.0,,,2.0,,,,
104820,3.0,411.0,1018.0,2.0,208.0,107.0,1036.0,1919.0,2775.0,,5.0,2.0,68.0,3.0,13.0,3.0
105014,192.0,1517.0,1487.0,19.0,430.0,915.0,496.0,1019.0,232.0,,7.0,6.0,,,,
105115,176.0,493.0,806.0,,348.0,43.0,92.0,627.0,28.0,,,,,,,
105216,,30.0,192.0,,5.0,306.0,560.0,519.0,774.0,,,1.0,,,,
105923,145.0,1964.0,2045.0,46.0,2677.0,230.0,238.0,606.0,138.0,1.0,4.0,,,,1.0,
106319,357.0,778.0,1082.0,9.0,893.0,445.0,1102.0,1538.0,1552.0,,48.0,,34.0,10.0,65.0,25.0
106521,479.0,764.0,2492.0,20.0,705.0,310.0,277.0,1211.0,22.0,15.0,2.0,1.0,,,,
107018,126.0,676.0,1218.0,102.0,425.0,63.0,153.0,313.0,610.0,7.0,1.0,15.0,8.0,75.0,8.0,2.0
107321,69.0,120.0,892.0,,134.0,795.0,850.0,2092.0,1241.0,,7.0,,,,,
107422,175.0,61.0,767.0,1.0,243.0,1097.0,4942.0,2788.0,2011.0,1.0,255.0,10.0,209.0,93.0,348.0,
107725,96.0,340.0,3799.0,69.0,42.0,665.0,3258.0,5230.0,2674.0,1.0,,2.0,,,,
108020,385.0,72.0,1187.0,152.0,126.0,957.0,993.0,2380.0,531.0,7.0,285.0,8.0,7.0,1.0,16.0,
108121,,5.0,845.0,6.0,56.0,610.0,200.0,1229.0,671.0,,2.0,,,,,
108222,400.0,1276.0,1662.0,,1675.0,218.0,97.0,501.0,106.0,,,,,,,
108525,30.0,18.0,470.0,9.0,302.0,426.0,268.0,1380.0,155.0,,30.0,33.0,,1.0,32.0,
108828,12.0,411.0,289.0,,357.0,4.0,90.0,629.0,4.0,1.0,1.0,,,,,
109123,159.0,939.0,2026.0,,1137.0,169.0,398.0,1563.0,424.0,,,186.0,1.0,,,
110007,,17.0,298.0,50.0,108.0,122.0,513.0,897.0,1436.0,,23.0,3.0,,,,
110411,320.0,374.0,2040.0,,88.0,32.0,72.0,106.0,63.0,1.0,31.0,1.0,,,,
111009,4.0,220.0,141.0,,74.0,459.0,128.0,1929.0,290.0,,2.0,110.0,,2.0,1.0,
111211,120.0,867.0,530.0,,305.0,1155.0,1705.0,2701.0,834.0,,7.0,,2.0,,,
111514,4.0,22.0,923.0,2.0,27.0,79.0,701.0,1356.0,202.0,,1.0,,,,,
112314,1.0,33.0,476.0,1.0,32.0,25.0,50.0,174.0,,,5.0,,,,,
112516,13.0,47.0,278.0,,915.0,2.0,106.0,248.0,56.0,,,,,,,
112819,1.0,116.0,377.0,1.0,78.0,6.0,17.0,85.0,6.0,,1.0,1.0,,,,
